ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8
812.426758,789.840149,1264.317261,722.7771,795.025696,654.973938,976.234741,1080.415771
836.512634,801.646179,1214.045654,771.827087,816.844849,675.196106,992.827209,1064.453247
803.083801,784.366089,1246.89563,756.15448,816.390442,728.55188,1004.366272,1100.414795
754.75531,853.542664,1255.244995,769.684082,816.492493,724.791199,1013.865051,1168.57959
709.18689,832.032166,1297.412964,726.041992,759.594421,718.452454,976.061401,1139.200806
745.936218,818.85791,1237.164673,750.294067,829.411255,671.291443,985.971863,1091.391357
735.291565,851.94043,1270.555786,833.639465,833.236694,694.123352,1011.703552,1104.152222
758.161926,769.634094,1230.164917,832.281921,733.059265,672.674438,976.626038,1142.466187
748.782288,766.882324,1223.601685,843.007629,767.862915,664.050659,980.482727,1109.705078
735.626831,888.908264,1227.219727,809.029968,789.361572,688.090881,978.830322,1054.028564
750.402954,876.244629,1294.38501,838.768616,812.436462,693.855591,1041.097656,1108.283569
724.966492,829.851868,1225.906494,752.477051,832.587769,678.469788,960.789368,1148.879395
742.399841,833.338745,1218.159302,744.958801,800.086975,690.637756,969.683228,1080.643188
678.496399,825.204468,1282.266846,795.034363,792.251648,698.544922,938.444031,1129.437988
736.190002,860.30896,1232.418823,764.852234,773.22168,664.686523,1036.515137,1167.762085
740.11615,904.24646,1291.347046,789.353088,852.628357,698.123779,1001.077393,1077.223511
778.507996,829.57312,1364.225464,760.41394,840.598267,709.784302,1023.758057,1065.048828
809.193176,796.839783,1259.034668,735.802734,761.696106,670.354736,1047.391479,1115.523926
727.035339,792.383301,1356.774414,774.453918,762.348877,667.608948,1058.739746,1102.170898
727.118042,781.654846,1289.600586,752.037842,762.647034,699.925781,1065.845459,1046.797852
719.533997,812.019348,1293.898193,780.64209,815.814758,727.774719,1057.031372,1064.810181
704.689148,771.195618,1290.236328,758.011536,833.331421,738.348572,1065.950439,1058.248657
707.869873,771.741882,1254.206909,800.803711,776.184692,705.445557,1042.993774,1085.14209
718.788635,800.455139,1216.58374,785.724182,807.290955,674.311707,1028.127808,1140.618774
717.654114,799.111816,1314.974365,852.108582,803.914185,696.271606,1049.403442,1081.266724
721.236328,867.132385,1265.416138,767.213989,790.806213,725.6922,968.101501,1131.942261
